1, he, transcription, <p>.1, texts/jord0001.xml
נפש, he, transcription, <unclear>נ</unclear>פש</p></div>, texts/beth0271.xml
נצח, he, transcription, <p>נצח</p></div>, texts/masa0545.xml
נשיא, he, transcription, </lb><expan>נשי<ex>א</ex></expan>, texts/juda0001.xml
נתמ, he, transcription, נת<unclear>מ</unclear></gap>, texts/qumr0002.xml
נתנ, he, transcription, נ<unclear>ת</unclear>נ, texts/qumr0001.xml
ס, he, transcription, ס</supplied>, texts/huqo0001.xml
ס, he, transcription, <p>ס, texts/masa0590.xml
סקים, he, transcription, ס<unclear>ק</unclear>ים, texts/qumr0001.xml
סרור, he, transcription, <unclear>ס</unclear></choice>רור</p></div>, texts/masa0549.xml
ע, he, transcription, <p>ע, texts/masa0696.xml
עב, he, transcription, </lb></gap>עב</gap></p></div>, texts/masa0696.xml
עובד, he, transcription, עובד, texts/jeru0303.xml
עוזרל, he, transcription, </lb>ע<unclear>וזר</unclear>ל, texts/masa0595.xml
עזרה, he, transcription, <p>עזרה, texts/masa0394.xml
ענלכן, he, transcription, </lb>ענלכן, texts/huqo0001.xml
עקביא, he, transcription, עקביא, texts/masa0461.xml
עשירי, he, transcription, <p>עשירי</p></div>, texts/masa0588.xml
ף, he, transcription, </g>ף</g></g></g></g></g></g></g></g></num>, texts/masa0605.xml
פאריגרי, he, transcription, <p>פאריגרי, texts/beth0257.xml
פטי, he, transcription, <p>פטי</p></div>, texts/masa0388.xml
פטרין, he, transcription, <p>פטרין, texts/masa0413.xml
פסולא, he, transcription, <p>פסולא</p></div>, texts/masa0455.xml
פסולות, he, transcription, </lb>פסו<supplied>ל</supplied>ות</p></div>, texts/masa0454.xml
פרוטין, he, transcription, <p>פר<supplied>וטין</supplied>, texts/masa0453a.xml
פתו, he, transcription, <unclear>פ</unclear>ת<supplied>ו</supplied>, texts/mger0037.xml
צ, he, transcription, </gap><unclear>צ</unclear></gap>, texts/qumr0001.xml
ציפון, he, transcription, <p>ציפון</p></div>, texts/masa0436.xml
ק, he, transcription, <supplied>ק</supplied>, texts/beth0251.xml
ק, he, transcription, <p>ק</p></div>, texts/masa0459.xml
ק, he, transcription, </lb></gap>ק, texts/qumr0002.xml
קבר, he, transcription, קבר, texts/jeru0303.xml
